PaddlePaddle Supported Operations (v. >= 2.1)   ,Limitations
arg_max                                         ,The ``int32`` output data_type is not supported.
adaptive_pool2d                                 ,The ``NHWC`` data_layout is not supported.
assign,
assign_value,
batch_norm,
bicubic_interp,
bilinear_interp                                 ,"``NCW``, ``NWC``, ``NHWC``, ``NCDHW``, ``NDHWC`` data_layout are not supported"
bmm,
box_coder,
cast,
ceil,
clip,
concat,
conditional_block,
conv2d                                          ,``NHWC`` data_layout is not supported
conv2d_transpose,
cumsum,
deformable_conv,
depthwise_conv2d                                ,``NHWC`` data_layout is not supported.
depthwise_conv2d_transpose,
dropout,
elementwise_add,
elementwise_div,
elementwise_floordiv,
elementwise_max,
elementwise_min,
elementwise_mod,
elementwise_mul,
elementwise_pow,
elementwise_sub,
equal,
exp,
expand,
fill_any_like,
fill_constant,
fill_constant_batch_size_like,
flatten_contiguous_range,
floor,
gather,
gather_nd,
gelu,
generate_proposals,
greater_equal,
greater_than,
group_norm,
hard_sigmoid,
hard_swish,
layer_norm,
leaky_relu,
less_than,
linear_interp,
log,
logical_and,
logical_not,
logical_or,
logical_xor,
lookup_table,
matmul,
matrix_nms                                      ,"Only supports CPU plugin with ""number of selected boxes"" static shape (e.g.: ``min(min(num_boxes, nms_top_k) * num_classes_output, keep_top_k)``)."
max_pool2d_with_index,
meshgrid,
multiclass_nms                                  ,"Only supports CPU plugin with ""number of selected boxes"" static shape (e.g.: ``min(min(num_boxes, nms_top_k) * num_classes_output, keep_top_k)``)."
nearest_interp                                  ,"``NCW``, ``NWC``, ``NHWC``, ``NCDHW``, ``NDHWC`` data_layout are not supported."
not_equal,
p_norm,
pad3d                                           ,``Circular`` mode is not supported.
pool2d                                          ,``NHWC`` data_layout is not supported.
pow,
prior_box,
range,
reduce_max,
reduce_mean,
reduce_min,
reduce_prod,
reduce_sum,
relu,
reshape,
reverse,
rnn                                             ,``SimpleRNN`` and ``GRU`` modes are not supported.
roi_align,
scale,
select_input,
shape,
sigmoid,
slice,
softmax,
softplus,
split,
sqrt,
squeeze,
stack,
strided_slice,
sum,
swish,
sync_batch_norm,
tanh,
tile,
top_k,
transpose,
trilinear_interp,
unsqueeze,
where,
where_index,
while,
yolo_box,
